"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","LTINT","TOT","PC_PA","Q","2019-Q3",2.06,
"HUN","LTINT","TOT","PC_PA","Q","2019-Q4",1.923333,
"HUN","LTINT","TOT","PC_PA","Q","2020-Q1",2.22,
"HUN","LTINT","TOT","PC_PA","Q","2020-Q2",2.22,
"HUN","LTINT","TOT","PC_PA","Q","2020-Q3",2.266667,
"HUN","LTINT","TOT","PC_PA","Q","2020-Q4",2.193333,
"HUN","LTINT","TOT","PC_PA","Q","2021-Q1",2.443333,
"HUN","LTINT","TOT","PC_PA","Q","2021-Q2",2.826667,
"HUN","LTINT","TOT","PC_PA","Q","2021-Q3",2.92,
"HUN","LTINT","TOT","PC_PA","Q","2021-Q4",4.053333,
